"wagetypeid","wagename","recordstatus","ispph","ispayroll","isprint","percentage","maxvalue","currencyid"
1,"Gaji Pokok",1,1,1,1,0.0000,0.0000,40
2,"Tunjangan Jabatan",1,1,1,1,0.0000,0.0000,40
3,"Tunjangan Makan",1,1,1,1,0.0000,0.0000,40
4,"Tunjangan Transportasi",1,1,1,1,0.0000,0.0000,40
5,"Tunjangan Khusus",1,1,1,1,0.0000,0.0000,40
6,"Tunjangan Telepon",1,1,1,1,0.0000,0.0000,40
7,"Lembur",1,1,1,1,0.0000,0.0000,40
8,"Tunjangan Peralihan",1,1,1,1,0.0000,0.0000,40
9,"Jamsostek JHT oleh Perusahaan",1,0,0,1,3.7000,0.0000,40
10,"Jamsostek JHT oleh Karyawan",1,0,0,1,-2.0000,0.0000,40
11,"Jamsostek JK oleh Perusahaan",1,0,0,1,0.3000,0.0000,40
12,"Jamsostek JKK oleh Perusahaan",1,0,0,1,0.2400,0.0000,40
13,"Jamsostek JPK Lajang oleh Perusahaan",1,0,0,1,3.0000,30000.0000,40
14,"Jamsostek JPK Keluarga oleh Perusahaan",1,0,0,1,6.0000,60000.0000,40
15,"DPLK yang ditanggung oleh Perusahaan",1,0,0,1,10.0000,0.0000,40
16,"DPLK yang ditanggung oleh karyawan",1,0,0,1,-2.5000,0.0000,40
17,"Tunjangan Cuti Tahunan",1,1,1,1,0.0000,0.0000,40
18,"Tunjangan Cuti Besar",1,1,1,1,0.0000,0.0000,40
19,"Opsi Jual Cuti Besar",1,1,1,1,0.0000,0.0000,40
20,"Premi Asuransi ditanggung oleh Perusahaan",1,1,0,0,0.0000,0.0000,40
21,"Post Service Liabilities (PSL)",1,1,1,1,0.0000,0.0000,40
22,"Komisi",1,1,1,1,0.0000,0.0000,40
