"wfstatusid","wfname","wfstat","wfstatusname"
1,"appjournal",1,"Create / Edit by Admin"
2,"appjournal",2,"Approve By Admin"
3,"appinvap",1,"Create / Edit by Admin"
4,"appinvap",2,"Approve By Admin"
5,"appinvar",1,"Create / Edit by Admin"
6,"appinvar",2,"Approve By Admin"
7,"appcashbankin",1,"Create / Edit by Admin"
8,"appcashbankin",2,"Approve By Admin"
9,"appcashbankout",1,"Create / Edit by Admin"
10,"appcashbankout",2,"Approve By Admin"
11,"appda",1,"Create / Edit by Admin"
12,"appda",2,"Approve By Admin"
13,"apppr",1,"Create / Edit By Admin"
14,"apppr",2,"Approve By Admin"
15,"apppo",1,"Create / Edit By Admin"
16,"apppo",2,"Approve By Admin"
17,"appgr",1,"Create / Edit By Admin"
18,"appgr",2,"Approve By Admin"
